organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Ministry of Trade and Industry - Department of Statistics,f8022542-2175-40e3-bdd5-31f29d30e269,"Resident Population by Planning Area/Subzone and Type of Dwelling, 2015",2017-12-14,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.",Other,2015-01-01,2015-12-31,2719aca1-6b37-4f8b-ac3f-a866d32df7c6,Resident Population by Subzone and Type of Dwelling,na,CSV
Ministry of Trade and Industry - Department of Statistics,dabd4510-3193-4947-9330-b9e474d886c0,"Resident Population by Planning Area/Subzone, Ethnic Group and Sex, 2015",2017-12-13,2019-08-01,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.",Other,2015-01-01,2015-12-31,d683afc9-d1e6-45a1-8d51-073710b7daca,"Resident Population by Planning Area, Ethnic Group and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,dabd4510-3193-4947-9330-b9e474d886c0,"Resident Population by Planning Area/Subzone, Ethnic Group and Sex, 2015",2017-12-13,2019-08-01,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.",Other,2015-01-01,2015-12-31,08f521ae-c3c2-4c55-b69b-55c5d7671329,"Resident Population by Subzone, Ethnic Group and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,801248a6-43c4-430d-817e-65fe08302b1f,"Resident Population by Single Year of Age, Ethnic Group and Sex, 2015",2018-02-02,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,f61bad0e-9bd1-4e01-be5b-1eea0a5c9a67,"Resident Population by Single Year of Age, Ethnic Group and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,7d1458eb-b0f7-4256-8525-35de8d7e7063,"Resident Population of Other Ethnic Groups by Age Group, Ethnic Group and Sex, 2015",2017-12-13,2020-02-03,The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.,Other,2015-01-01,2015-12-31,909ace28-2722-4fc9-b245-5c89b4a656c6,"Resident Population of Other Ethnic Groups by Age Group (Total), Ethnic Group and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,7d1458eb-b0f7-4256-8525-35de8d7e7063,"Resident Population of Other Ethnic Groups by Age Group, Ethnic Group and Sex, 2015",2017-12-13,2020-02-03,The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.,Other,2015-01-01,2015-12-31,df509938-c034-4777-8ad8-7402f00f2158,"Resident Population of Other Ethnic Groups by Age Group, Ethnic Group and Sex",na,CSV
People's Association,9773f3e0-e48e-4555-87e5-4de10be2728d,Residents Committees,2015-09-24,2020-01-11,Residents Committee in Singapore,Adhoc,na,na,773ec781-5ca6-4089-9a09-f745545a2351,Residents Committees (KML),na,KML
People's Association,9773f3e0-e48e-4555-87e5-4de10be2728d,Residents Committees,2015-09-24,2020-01-11,Residents Committee in Singapore,Adhoc,na,na,eb96ea94-b753-4220-9503-90f5c3d33b7d,Residents Committees (GEOJSON),na,GeoJSON
Ministry of Manpower,655ae15a-9879-4509-90e5-feb715279cf5,"Residents Outside the Labour Force Aged 15 Years and Over by Marital Status, Age and Sex",2016-04-21,2017-02-06,"* Data are for mid-year. 
* Residents refer to Singapore Citizens and Permanent Residents. 
* Residents outside the labour force refer to residents aged 15 & over who were not working, did not have a job to return to and were not actively looking for a job during the reference period.

Source: Comprehensive Labour Force Survey, Manpower Research And Statistics Department, MOM",Annual,2010-01-01,2015-12-31,1e889860-90ee-4d4b-af73-f13de53652e4,"Residents Outside the Labour Force Aged 15 Years and Over by Marital Status, Age and Sex","* Data are for mid-year. 
* Residents refer to Singapore Citizens and Permanent Residents. 
* Residents outside the labour force refer to residents aged 15 & over who were not working, did not have a job to return to and were not actively looking for a job during the reference period.

Source: Comprehensive Labour Force Survey, Manpower Research And Statistics Department, MOM",CSV
Ministry of Manpower,bf47fa68-e806-4b8a-beea-1d476ab3c097,"Residents Outside the Labour Force by Highest Qualification Attained, Age and Sex",2016-04-21,2017-11-03,"* Data are for mid-year. 
* Residents refer to Singapore Citizens and Permanent Residents. 
* Residents outside the labour force refer to residents aged 15 & over who were not working, did not have a job to return to and were not actively looking for a job during the reference period.

Source: Comprehensive Labour Force Survey, Manpower Research And Statistics Department, MOM",Annual,2010-01-01,2015-12-31,42769bff-e895-4c60-893d-b4c40958990d,"Residents Outside the Labour Force by Highest Qualification Attained, Age And Sex","* Data are for mid-year. 
* Residents refer to Singapore Citizens and Permanent Residents. 
* Residents outside the labour force refer to residents aged 15 & over who were not working, did not have a job to return to and were not actively looking for a job during the reference period.

Source: Comprehensive Labour Force Survey, Manpower Research And Statistics Department, MOM",CSV
Ministry of Trade and Industry - Department of Statistics,482d79ce-123a-4580-991a-4b8052bc89e6,"Resident Students Aged 5 Years and Over by Language Most Frequently Spoken at Home, Level of Education Attending and Sex, 2015",2017-12-20,2019-08-01,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,54719ae2-ca3c-4eee-ac46-d0e76f39443f,"Language Most Frequently Spoken at Home(Broad), Level of Education Attending and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,482d79ce-123a-4580-991a-4b8052bc89e6,"Resident Students Aged 5 Years and Over by Language Most Frequently Spoken at Home, Level of Education Attending and Sex, 2015",2017-12-20,2019-08-01,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,4286b8dc-45ea-4034-a3a9-49be7c628d2a,"Language Most Frequently Spoken at Home, Level of Education Attending and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,ae21a442-e933-4f4d-865e-11e8f680b209,"Resident Students Aged 5 Years and Over by Level of Education Attending, Ethnic Group and Language Most Frequently Spoken at Home, 2015",2017-12-20,2019-08-07,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,8084fcaa-47d3-43ef-9d01-67f67efd267f,"Level of Education Attending(Broad), Ethnic Grp & Language Most Frequently Spoken at Home",na,CSV
Ministry of Trade and Industry - Department of Statistics,ae21a442-e933-4f4d-865e-11e8f680b209,"Resident Students Aged 5 Years and Over by Level of Education Attending, Ethnic Group and Language Most Frequently Spoken at Home, 2015",2017-12-20,2019-08-07,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,fd5ca5e7-bdf4-41f5-8caf-db6ddba49963,"Level of Education Attending, Ethnic Grp & Language Most Frequently Spoken at Home",na,CSV
Ministry of Trade and Industry - Department of Statistics,f4e6670f-719e-4d58-a3e4-72652f19f0bd,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Travelling Time to School and Sex, 2015",2018-02-01,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,434ac095-5573-40b8-8a20-987d5e699671,"5 Years and Over by Mode of Transport to School, Travelling Time to School(Total) and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,f4e6670f-719e-4d58-a3e4-72652f19f0bd,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Travelling Time to School and Sex, 2015",2018-02-01,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,737991e1-594b-4983-a3c9-fc4c0abf610a,"5 Years and Over by Mode of Transport to School, Travelling Time to School and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,353a953c-c3fa-4f63-b5de-441be5b32de4,"Resident Students Aged 15 Years and Over by Language Literate In, Ethnic Group and Sex, 2015",2017-12-19,2019-08-05,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,ded9a709-6dab-4929-85fd-4ec10f2a2533,"Resident Students Aged 15 Years and Over by Language Literate In(Broad), Ethnic Grp & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,353a953c-c3fa-4f63-b5de-441be5b32de4,"Resident Students Aged 15 Years and Over by Language Literate In, Ethnic Group and Sex, 2015",2017-12-19,2019-08-05,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,85605650-0b43-40a5-97c3-fa1bd5e05acf,"Resident Students Aged 15 Years and Over by Language Literate In, Ethnic Grp & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,51decec7-c4ad-45a0-8e99-82e6efbc370b,"Resident Students Aged 15 Years and Over by Language Literate In, Level of Education Attending and Sex, 2015",2017-12-19,2019-08-06,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,92700cf4-43f0-4e03-8467-a53a302076c3,"Resident Students Aged 15 Years & Over by Language Literate In(Broad), LOE Attending & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,51decec7-c4ad-45a0-8e99-82e6efbc370b,"Resident Students Aged 15 Years and Over by Language Literate In, Level of Education Attending and Sex, 2015",2017-12-19,2019-08-06,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,926e05db-edc9-4897-b695-5108bfb7936f,"Resident Students Aged 15 Years & Over by Language Literate In, LOE Attending & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,3aff9b0f-9f65-431d-944b-68604f1e3d8e,"Resident Students Aged 5 Years and Over by Planning Area and Level of Education Attending, 2015",2018-01-18,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,89dc5928-83e7-4a63-b7f6-a53ffd09c58a,Resident Students Aged 5 Yrs & Over by Planning Area(Total) & Level of Education Attending,na,CSV
Ministry of Trade and Industry - Department of Statistics,3aff9b0f-9f65-431d-944b-68604f1e3d8e,"Resident Students Aged 5 Years and Over by Planning Area and Level of Education Attending, 2015",2018-01-18,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,43762b5d-334f-4161-a4eb-d72d6f598d60,Resident Students Aged 5 Yrs & Over by Planning Area & Level of Education Attending,na,CSV
Ministry of Trade and Industry - Department of Statistics,ab9e6f26-ce99-466d-8843-de4744c626ab,"Resident Students Aged 5 Years and Over by Planning Area and Travelling Time to School, 2015",2018-01-18,2019-08-07,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,fb7df7e4-064e-447d-ae6f-b56bd10c1b91,Resident Students Aged 5 Yrs & Over by Planning Area(Total) & Travelling Time to School,na,CSV
Ministry of Trade and Industry - Department of Statistics,ab9e6f26-ce99-466d-8843-de4744c626ab,"Resident Students Aged 5 Years and Over by Planning Area and Travelling Time to School, 2015",2018-01-18,2019-08-07,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,d7d71480-0d48-4563-8181-83cd26910b94,Resident Students Aged 5 Yrs & Over by Planning Area & Travelling Time to School,na,CSV
Ministry of Trade and Industry - Department of Statistics,9cf5843b-89e1-48d3-a029-223b2c18bae2,"Resident Students Aged 5 Years and Over by Planning Area and Usual Mode of Transport to School, 2015",2018-01-18,2019-08-02,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,7c8a08a1-3ab6-4aa6-beee-66bec5c203c9,Resident Students Aged 5 Yrs & Over by PA(Total) & Usual Mode of Transport to School,na,CSV
Ministry of Trade and Industry - Department of Statistics,9cf5843b-89e1-48d3-a029-223b2c18bae2,"Resident Students Aged 5 Years and Over by Planning Area and Usual Mode of Transport to School, 2015",2018-01-18,2019-08-02,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,95888dbd-fa99-4359-ba20-762551410f53,Resident Students Aged 5 Yrs & Over by PA & Usual Mode of Transport to School,na,CSV
Ministry of Trade and Industry - Department of Statistics,402e02ef-39fc-4b4f-8d04-ed5fa23f0133,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Age Group and Sex, 2015",2018-02-01,2019-07-30,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,d0e8b5cc-4aa1-4fe3-9fbb-4a457910019d,"Resident Students Aged 5 Yrs & Over by Mode of Transport to School(Total), Age Grp & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,402e02ef-39fc-4b4f-8d04-ed5fa23f0133,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Age Group and Sex, 2015",2018-02-01,2019-07-30,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,af70fb19-18cb-4689-94bc-02346ef781cf,"Resident Students Aged 5 Yrs & Over by Mode of Transport to School, Age Grp & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,9ef887da-a56f-489a-b259-994c999834a9,"Resident Students Aged 5 Years and Over by Level of Education Attending, Age Group, Sex and Ethnic Group, 2015",2017-12-14,2019-08-07,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,a2eac40a-f797-4b17-a447-0bf3ae3c8d6c,"Resident Students Aged 5 Years & Over by LOE Attending (Total), Age Grp, Sex & Ethnic Grp",na,CSV
Ministry of Trade and Industry - Department of Statistics,9ef887da-a56f-489a-b259-994c999834a9,"Resident Students Aged 5 Years and Over by Level of Education Attending, Age Group, Sex and Ethnic Group, 2015",2017-12-14,2019-08-07,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,2ecad31a-d6aa-4979-86ca-2b0eb6b6ffd5,"Resident Students Aged 5 Years and Over by LOE Attending, Age Grp, Sex & Ethnic Grp",na,CSV
Ministry of Trade and Industry - Department of Statistics,f63b3876-dd72-48ed-bd96-1e0521e96d3c,"Resident Students Aged 5 Years and Over by Travelling Time to School, Level of Education Attending and Sex, 2015",2018-06-05,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,2b357fc5-5e54-4e7f-bfbf-0a4ed606d31a,"Resident Students by Travelling Time to School (Total), Education Attending and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,f63b3876-dd72-48ed-bd96-1e0521e96d3c,"Resident Students Aged 5 Years and Over by Travelling Time to School, Level of Education Attending and Sex, 2015",2018-06-05,2020-02-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,0429dc43-a6c6-4154-a828-992674911bbc,"Resident Students by Travelling Time to School, Education Attending and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,ba958362-9f39-48a7-b8f3-c5cf1f17b4f2,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Monthly Household Income from Work and Sex, 2015",2018-02-01,2019-07-27,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,e4d9de24-f718-4d5e-ab0c-6f43bfb6b44d,"Resident Students 5 Yrs & Over by Mode of Transport to School(Total), MHI from Work & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,ba958362-9f39-48a7-b8f3-c5cf1f17b4f2,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Monthly Household Income from Work and Sex, 2015",2018-02-01,2019-07-27,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,4a1c3c65-214b-49c3-a1d6-847f4454506e,"Resident Students 5 Yrs & Over by Mode of Transport to School, MHI from Work & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,3106b2e2-3491-4a0d-8bce-fa8455a6da5e,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Level of Education Attending and Sex, 2015",2018-06-05,2019-11-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,2e60a190-211b-4564-b722-24d92778b886,"Resident Students by Mode of Transport to School (Total), Education Attending and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,3106b2e2-3491-4a0d-8bce-fa8455a6da5e,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Level of Education Attending and Sex, 2015",2018-06-05,2019-11-03,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,041a1c07-b085-4a58-b5c6-1e7bdcc6e041,"Resident Students by Mode of Transport to School, Education Attending and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,a4b5e7eb-77a2-451f-b746-73be2734b50c,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Type of Dwelling and Sex, 2015",2018-02-01,2019-08-05,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,76a58aeb-501b-41ac-915d-88b9aec28a6b,"Resident Students 5 Yrs & Over by Mode of Transport to School(Total), Dwelling Type & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,a4b5e7eb-77a2-451f-b746-73be2734b50c,"Resident Students Aged 5 Years and Over by Usual Mode of Transport to School, Type of Dwelling and Sex, 2015",2018-02-01,2019-08-05,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,92799609-3b0f-4428-9ea8-9533e56e2a97,"Resident Students 5 Yrs & Over by Mode of Transport to School, Dwelling Type & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,b90569b1-67e5-459c-ba04-2694fb5020c3,"Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Employment Status and Sex, 2015",2018-02-02,2019-08-05,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,6450dc5e-23da-4642-aeb4-8e78f4680446,"Aged 15 Years and Over by Usual Mode of Transport to Work(Total), Employment Status & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,b90569b1-67e5-459c-ba04-2694fb5020c3,"Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Employment Status and Sex, 2015",2018-02-02,2019-08-05,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,e8cd1578-8474-4d7d-bca6-1f5731b7acfc,"Aged 15 Years and Over by Usual Mode of Transport to Work, Employment Status & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,e867fa47-7bf8-4a60-85c3-6a3fb51d40e3,"Resident Working Persons Aged 15 Years and Over by Age Group, Ethnic Group and Sex, 2015",2017-12-20,2019-07-29,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,6588d0f6-b90e-42a1-9889-bf3acaf8071c,"Resident Working Persons Aged 15 Years and Over by Age Group(Total), Ethnic Group and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,e867fa47-7bf8-4a60-85c3-6a3fb51d40e3,"Resident Working Persons Aged 15 Years and Over by Age Group, Ethnic Group and Sex, 2015",2017-12-20,2019-07-29,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,d0233033-4611-4eb5-a69a-18c73366c345,"Resident Working Persons Aged 15 Years and Over by Age Group, Ethnic Group and Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,c9db3527-1104-4a66-8d1a-089793694d79,"Resident Working Persons Aged 15 Years and Over by Ethnic Group, Employment Status and Sex, 2015",2017-12-20,2019-08-18,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,c91484d7-0df6-4e49-8b28-88cb88cc3ba7,"Resident Working Persons Aged 15 Years & Over by Ethnic Gp(Total), Employment Status & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,c9db3527-1104-4a66-8d1a-089793694d79,"Resident Working Persons Aged 15 Years and Over by Ethnic Group, Employment Status and Sex, 2015",2017-12-20,2019-08-18,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,f7085726-2b1f-45ee-af1f-2037583610b2,"Resident Working Persons Aged 15 Years & Over by Ethnic Gp, Employment Status & Sex",na,CSV
Ministry of Trade and Industry - Department of Statistics,4f9fa7d0-1ea4-4d58-8673-65b9c229a44d,"Resident Working Persons Aged 15 Years and Over by Highest Qualification Attained, Ethnic Group and Sex, 2015",2017-12-20,2019-08-07,"From 1995, the General Household Survey (GHS) is conducted in between 2 Population Censuses as a mid-decade mini-Census.

The General Household Survey (GHS) 2015 is the third in the series of mid-decade national survey. It covers a wide range of topics and provides comprehensive data on Singapores population and households in between the population censuses that are conducted once in ten years.",Other,2015-01-01,2015-12-31,a62e87fb-5cee-4261-bfe4-f7f9d38e39fc,"Resident Working Persons Aged 15 Years and Over by HQA(Total), Ethnic Group and Sex",na,CSV
